index;element;a1;a2;a3;a4;a5;b1;b2;b3;b4;b5;
1;"H";0.1671;0.2563;0.0393;0.0596;0.0078;6.0583;20.3093;70.2973;1.3067;0.0102;
2;"He";0.1227;0.1579;0.0089;0.0926;0.0358;14.1248;5.0260;36.9356;1.6644;0.2832;
3;"Li";0.7762;0.0644;0.2118;1.0882;1.1218;16.2591;0.3254;2.5832;85.6315;80.5508;
4;"Be";0.0197;1.5392;0.2990;0.1283;1.0548;0.0243;52.2488;4.1219;0.8202;15.6590;
5;"B";0.4441;0.0720;1.1248;0.9794;0.1695;5.2074;0.2374;15.0436;44.6563;1.4821;
6;"C";1.0392;0.5255;0.2246;0.0861;0.6326;15.4799;42.5178;1.5692;0.2390;5.5375;
7;"N";0.9271;0.4702;0.0611;0.5487;0.2047;11.0027;32.1051;0.1308;3.8783;1.0445;
8;"O";0.7118;0.2561;0.6403;0.2767;0.0983;11.5989;29.7811;4.4138;1.3555;0.2103;
9;"F";0.2917;0.6223;0.6257;0.1632;0.0983;1.2215;10.6435;3.9383;27.6191;0.1846;
10;"Ne";0.1250;0.1644;0.4632;0.5452;0.3541;0.2162;22.1640;9.1228;3.9942;1.3653;
11;"Na";1.0417;0.6892;0.1996;1.2693;1.5679;12.4203;2.1683;0.3158;131.093;62.9926;
12;"Mg";0.6946;0.1704;2.0512;1.8009;0.4841;5.5229;0.2462;77.5613;24.3472;1.5433;
13;"Al";0.5217;0.1944;0.7933;2.4057;1.9661;1.6064;0.2596;6.3070;24.1637;78.1749;
14;"Si";1.8563;0.8424;0.4860;2.4408;0.1954;61.6656;5.6894;1.4450;19.8377;0.2430;
15;"P";2.2615;1.8096;0.4399;0.7882;0.1817;15.0540;45.2182;1.2297;4.6428;0.2100;
16;"S";1.0234;1.2139;0.4932;2.1986;0.2293;5.5511;41.8781;1.4617;15.4568;0.2477;
17;"Cl";0.5037;0.2446;0.9581;1.9974;1.1525;1.4730;0.2489;36.5515;14.2213;5.4897;
18;"Ar";0.8942;1.9768;0.1070;1.1841;0.4159;3.4094;9.8793;0.0763;27.1976;0.7596;
19;"K";0.3371;0.8878;2.5273;2.4758;2.6079;0.3315;2.2665;9.0998;101.835;85.6052;
20;"Ca";0.6173;0.2885;1.6416;2.1460;5.1654;1.6400;0.2468;5.5582;18.0165;86.4565;
21;"Sc";1.7260;2.3637;0.2989;4.1911;0.6974;5.6109;20.8270;0.2446;83.9145;1.6783;
22;"Ti";1.7508;2.4914;0.7528;0.3070;3.4557;5.5714;22.1798;1.6591;0.2448;82.7864;
23;"V";0.3225;2.4858;0.8123;2.9576;1.7139;0.2477;22.3821;1.6916;80.5410;5.4920;
24;"Cr";1.6778;0.8399;1.9966;0.3165;2.1247;5.2661;1.6077;20.1030;0.2328;82.4882;
25;"Mn";0.8970;2.3635;0.3296;1.6190;2.2893;1.6174;74.1583;0.2464;5.2368;21.2391;
26;"Fe";0.9641;0.3397;2.1773;2.0815;1.5664;1.6217;0.2341;21.1950;70.7154;5.3081;
27;"Co";2.0668;1.4921;0.3477;0.9572;1.9833;19.7711;5.0028;0.2315;1.5690;68.3097;
28;"Ni";1.8929;1.9648;0.9275;1.4477;0.3288;64.4272;18.2869;1.4276;4.5981;0.2091;
29;"Cu";1.4292;0.9819;1.2946;0.3448;1.5426;4.7334;1.4435;71.8921;0.2258;18.3285;
30;"Zn";1.5439;1.7832;1.0213;1.3392;0.3722;62.0393;18.4854;1.4805;4.7984;0.2250;
31;"Ga";1.1303;1.3643;0.4097;2.3827;1.8133;1.5844;5.5819;0.2414;22.0962;76.1567;
32;"Ge";2.6367;1.3324;0.4029;1.0846;1.9141;19.7849;5.2086;0.2298;1.4807;64.0820;
33;"As";2.6865;1.2748;0.3853;1.0297;1.9382;16.7493;4.7274;0.2125;1.3530;50.8067;
34;"Se";1.1632;1.0534;2.7186;0.3958;1.8692;4.6405;1.3573;14.6754;0.2104;42.7844;
35;"Br";2.7310;1.6535;1.2619;0.4015;1.0081;13.8481;38.1205;4.6020;0.2098;1.2880;
36;"Kr";2.7163;1.2399;1.6285;0.3668;0.9433;12.0800;4.0874;32.8791;0.1977;1.1280;
37;"Rb";0.4637;0.8657;5.7261;3.6288;0.9655;0.2420;1.1826;106.6006;11.2431;4.0022;
38;"Sr";3.0069;1.7449;6.5739;1.1999;0.5062;15.5935;6.2286;92.0409;1.5694;0.2374;
39;"Y";2.2413;3.2281;1.0127;5.6088;0.4937;5.5921;18.4113;1.3346;83.3015;0.2361;
40;"Zr";0.5090;3.5092;1.0341;4.5954;2.4670;0.2341;20.5167;1.3658;82.1291;5.6990;
41;"Nb";2.5661;1.0335;3.3941;3.1423;0.5083;5.5531;1.3433;19.7223;81.3820;0.2265;
42;"Mo";2.6130;3.2953;0.5370;1.0379;2.7607;5.4630;19.1458;0.2343;1.3838;78.5426;
43;"Tc";2.6630;3.4140;1.0671;0.5563;3.1287;5.4012;19.7416;1.4296;0.2352;73.4475;
44;"Ru";2.2004;3.0256;1.0724;0.5667;2.6688;73.3132;18.0130;1.4301;0.2345;5.2267;
45;"Rh";2.6577;2.9019;0.5614;1.0653;2.0332;4.9678;17.0684;0.2387;1.3751;70.7299;
46;"Pd";2.5413;2.1993;0.5259;0.9384;1.3647;11.3044;4.0573;0.2084;1.2112;37.2810;
